StartingAngle,AngleThreshold,StartingRadius,FinalRadius,DecayConstant,TimeToEat,PerturbAngle,TriggerRadius,InterTimeInterval
270,30,0.15,0.025,0.0003,10.0,0,0.0,2.0
0,30,0.15,0.025,0.0003,10.0,0,0.0,2.0
180,30,0.15,0.025,0.0003,10.0,0,0.0,2.0
90,30,0.15,0.025,0.0003,10.0,0,0.0,2.0
270,30,0.15,0.025,0.0003,10.0,0,0.0,2.0
0,30,0.15,0.025,0.0003,10.0,0,0.0,2.0
180,30,0.15,0.025,0.0003,10.0,0,0.0,2.0
90,30,0.15,0.025,0.0003,10.0,0,0.0,2.0
270,30,0.15,0.025,0.0003,10.0,0,0.0,2.0
0,30,0.15,0.025,0.0003,10.0,0,0.0,2.0
180,30,0.15,0.025,0.0003,10.0,0,0.0,2.0
90,30,0.15,0.025,0.0003,10.0,0,0.0,2.0
270,30,0.15,0.025,0.0003,10.0,0,0.0,2.0
0,30,0.15,0.025,0.0003,10.0,0,0.0,2.0
180,30,0.15,0.025,0.0003,10.0,0,0.0,2.0
90,30,0.15,0.025,0.0003,10.0,0,0.0,2.0
270,30,0.15,0.025,0.0003,10.0,0,0.0,2.0
0,30,0.15,0.025,0.0003,10.0,0,0.0,2.0
180,30,0.15,0.025,0.0003,10.0,0,0.0,2.0
90,30,0.15,0.025,0.0003,10.0,0,0.0,2.0
270,30,0.15,0.025,0.0003,10.0,0,0.0,2.0
0,30,0.15,0.025,0.0003,10.0,0,0.0,2.0
180,30,0.15,0.025,0.0003,10.0,0,0.0,2.0
90,30,0.15,0.025,0.0003,10.0,0,0.0,2.0
270,30,0.15,0.025,0.0003,10.0,0,0.0,2.0
0,30,0.15,0.025,0.0003,10.0,0,0.0,2.0
180,30,0.15,0.025,0.0003,10.0,0,0.0,2.0
90,30,0.15,0.025,0.0003,10.0,0,0.0,2.0
270,30,0.15,0.025,0.0003,10.0,0,0.0,2.0
0,30,0.15,0.025,0.0003,10.0,0,0.0,2.0
180,30,0.15,0.025,0.0003,10.0,0,0.0,2.0
90,30,0.15,0.025,0.0003,10.0,0,0.0,2.0
