StartingAngle,AngleThreshold,StartingRadius,FinalRadius,DecayConstant,TimeToEat,PerturbAngle,TriggerRadius,PerturbMagnitude
270,25,0.18,0.03,0.0003,20.0,10,0.00,0.10
0,30,0.18,0.03,0.0003,15.0,45,0.00,0.10
90,30,0.18,0.03,0.0003,15.0,20,0.00,0.10
180,25,0.18,0.03,0.0003,15.0,10,0.080,0.10
270,25,0.18,0.03,0.0003,10.0,10,0.00,0.10
0,25,0.18,0.03,0.0003,0,-25,0.080,0.10
90,25,0.14,0.03,0.0003,20.0,25,0.080,0.10
180,25,0.18,0.03,0.0003,15.0,10,0.00,0.10
270,25,0.18,0.03,0.0003,0,30,0.080,0.10
0,25,0.14,0.03,0.0003,20.0,30,0.080,0.10
180,25,0.18,0.03,0.0003,10.0,10,0.00,0.10
270,25,0.18,0.03,0.0003,10.0,10,0.080,0.10
0,25,0.18,0.03,0.0003,15.0,10,0.00,0.10
90,25,0.18,0.03,0.0003,0,-25,0.080,0.10
180,25,0.14,0.03,0.0003,0.0,25,0.080,0.10
270,25,0.18,0.03,0.0003,20.0,10,0.00,0.10
0,25,0.18,0.03,0.0003,15,30,0.080,0.10
90,25,0.14,0.03,0.0003,0.0,30,0.080,0.10
180,25,0.18,0.03,0.0003,0.0,-20,0.080,0.10
270,25,0.18,0.03,0.0003,20.0,10,0.00,0.10
0,25,0.18,0.03,0.0003,10.0,10,0.080,0.10
90,25,0.18,0.03,0.0003,10.0,10,0.00,0.10
180,25,0.18,0.03,0.0003,0,-25,0.080,0.10
270,25,0.14,0.03,0.0003,20.0,25,0.080,0.10
0,25,0.18,0.03,0.0003,15.0,10,0.00,0.10
90,25,0.18,0.03,0.0003,0,30,0.080,0.10
180,25,0.14,0.03,0.0003,0.0,30,0.080,0.10
270,25,0.18,0.03,0.0003,20.0,10,0.00,0.10
180,25,0.18,0.03,0.0003,10.0,-20,0.080,0.10
